Trajectory ID,Mol smiles,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number,Mol_smiles_clean,is_valid,mol_obj,Topological_diameter_bonds,BRICS_unique_frag_count,BRICS_largest_frag_heavy_atoms,Fgroup_carbonyl,Fgroup_ester,Fgroup_amide,Fgroup_ether,Fgroup_alcohol,RingCount,AromaticAtomCount,Hybrid_SP,Hybrid_SP2,Hybrid_SP3,NumHDonors,NumHAcceptors,EState_sum,EState_max,EState_min,EState_std,EState_mean,Gasteiger_max,Gasteiger_min,Gasteiger_mean,Gasteiger_std,SASA_sum,MolLogP,TPSA,NumRotatableBonds,FractionCSP3,R_eff,D,Tg,eta
29740,CC(C)(N[Cu])C(=O)NCCOC(=O)[Au],1.3768,432.7,19.0,1.3528,4.8015e-05,1.819e-08,6.2223e-09,8.4771e-09,0.095716,CC(C)(N)C(=O)NCCOC(=O),True,<rdkit.Chem.rdchem.Mol object at 0x1abaec5f0>,8.0,4,6,2,1,1,1,0,0,0,0,6,6,2,4,35.91666666666667,11.047735260770976,-0.8877193168934241,3.7620664824540775,2.993055555555556,0.29264095313362404,-0.46602358653976933,-0.07991651932641468,0.23684404359440678,91.09900292348874,-0.9870999999999992,81.42000000000002,5,0.7142857142857143,7.56360717346297e-10,3.418439514324555e-10,104.55400000000002,146.1709606550829
29741,CN(C)C(CO[Cu])COC(=O)[Au],1.4604,405.67,26.0,1.3116,4.2613e-05,1.5379e-08,1.3852e-08,1.6372e-08,0.27595,CN(C)C(CO)COC(=O),True,<rdkit.Chem.rdchem.Mol object at 0x1abaec660>,6.0,3,4,1,1,0,1,1,0,0,0,3,7,1,4,28.833333333333332,9.72546201814059,-0.09240740740740772,3.4183031151480363,2.8833333333333333,0.29263494689481695,-0.4661370119723505,-0.09144064226890655,0.2348975670285086,78.7443831120714,-0.9181000000000001,49.77,5,0.8333333333333334,7.402713881626518e-10,3.4927371293882125e-10,95.52100000000002,114.48781462245307
29742,CN(C)C(C)(C)C(CNC(=O)[Au])CO[Cu],1.4659,446.77,26.0,1.2058,3.6097e-05,2.1397e-08,1.8385e-08,1.2081e-08,0.22652,CN(C)C(C)(C)C(CNC(=O))CO,True,<rdkit.Chem.rdchem.Mol object at 0x1abaec6d0>,7.0,3,7,1,0,1,0,1,0,0,0,3,10,2,3,33.08333333333333,10.115697278911565,-0.1202777777777777,3.1572481896169706,2.5448717948717947,0.20663484176744193,-0.39594412071123763,-0.0875232482315455,0.1768877403183334,108.16837654277539,-0.3188999999999994,52.57000000000001,6,0.8888888888888888,7.644715618072109e-10,3.38217076008315e-10,99.191,111.4644774628543
29743,O=C([Au])NCCNC(=O)CCC(N[Cu])C(=O)O,1.4395,475.72,16.0,1.4907,4.7021e-05,1.0559e-08,8.5191e-09,6.4279e-09,0.24937,O=CNCCNC(=O)CCC(N)C(=O)O,True,<rdkit.Chem.rdchem.Mol object at 0x1abaec740>,11.0,4,9,3,0,2,0,1,0,0,0,9,6,4,4,48.66666666666667,11.05754157218443,-1.1199800439893333,4.322623027217832,3.244444444444445,0.31998284565343027,-0.48008628646214335,-0.09233403809071937,0.24233143144536648,108.4057152347597,-1.9592999999999972,121.52,8,0.625,7.806394055742837e-10,3.312122530321602e-10,113.876,181.91054313099042
29744,C=C(C)CN(CC(C)OC(=O)[Au])C(C)CO[Cu],1.3609,473.79,19.0,1.198,4.5296e-05,4.3016e-08,1.5218e-08,1.9618e-08,-0.46447,C=C(C)CN(CC(C)OC(=O))C(C)CO,True,<rdkit.Chem.rdchem.Mol object at 0x1abaec7b0>,8.0,5,4,1,1,0,1,1,0,0,0,5,10,1,4,38.33333333333333,10.150688224363819,-0.1705092592592592,3.081577996786342,2.5555555555555554,0.292889971367364,-0.4635174433698521,-0.0759353326558821,0.19278727447579785,121.11925465321264,0.8068,49.769999999999996,8,0.7272727272727273,7.795822878488008e-10,3.31661378607529e-10,99.333,136.39533141929846
29745,CC(CN[Cu])(NC(=O)[Au])C(=O)O,1.3895,404.64,31.0,1.5015,7.35e-05,1.4737e-08,1.31e-08,6.598e-09,0.34722,CC(CN)(NC(=O))C(=O)O,True,<rdkit.Chem.rdchem.Mol object at 0x1abaec820>,5.0,2,7,2,0,1,0,1,0,0,0,6,4,3,3,34.916666666666664,10.340833333333332,-1.3315972222222223,4.347908185548111,3.4916666666666663,0.32994790411594543,-0.4794748598105893,-0.09967436797757498,0.2588656388971608,72.51659547484068,-1.4655999999999996,92.42,4,0.6,7.396443384622607e-10,3.495698173847879e-10,104.94800000000001,174.62229617304493
29746,O=C([Au])NCC(=O)NCCNC(=O)CN[Cu],1.4708,460.71,14.0,1.4971,0.00011566,1.7816e-08,1.3174e-08,7.6606e-09,0.33975,O=CNCC(=O)NCCNC(=O)CN,True,<rdkit.Chem.rdchem.Mol object at 0x1abaec890>,11.0,5,4,3,0,3,0,0,0,0,0,9,5,4,4,43.83333333333333,10.846262518896449,-0.3063912509448219,4.074338694165036,3.1309523809523805,0.23894876329327666,-0.35323325732165833,-0.09183033049880741,0.23238381732899593,101.3628174257184,-3.0764999999999985,113.32000000000001,7,0.5714285714285714,7.723412185048783e-10,3.347708630991726e-10,111.735,195.19465934614425
29747,O=C([Au])OC(C(F)F)C(O[Cu])C(=O)O,1.4686,442.59,31.0,1.7283,3.2103e-05,1.9528e-08,6.2006e-09,7.3258e-09,-0.068162,O=COC(C(F)F)C(O)C(=O)O,True,<rdkit.Chem.rdchem.Mol object at 0x1abaec900>,6.0,2,9,2,1,0,1,2,0,0,0,6,6,2,4,53.16666666666667,11.789768518518517,-3.234907407407408,5.840341571119917,4.430555555555556,0.3362084420819722,-0.47921693449387887,-0.07754181826119504,0.299044657922532,74.15831074251622,-0.7614000000000001,83.83,5,0.6,7.62079944216815e-10,3.392784947144391e-10,106.025,176.41430948419304
29748,COCCC(CNCCC(C)OC(=O)[Au])N[Cu],1.4987,476.79,17.0,1.2256,0.0001252,4.2961e-08,3.2775e-08,2.2911e-08,0.29183,COCCC(CNCCC(C)OC(=O))N,True,<rdkit.Chem.rdchem.Mol object at 0x1abaec970>,12.0,5,5,1,1,0,2,0,0,0,0,3,12,2,5,36.666666666666664,9.997912315590504,-0.03685219303770926,2.7151307130914475,2.444444444444444,0.2928432299005097,-0.4648327177274201,-0.08583905785687576,0.2042225376965131,122.38561639748414,-0.10859999999999792,73.58,10,0.9,7.81224244484259e-10,3.309643014172411e-10,102.39500000000001,113.64594894561598
29749,COC(=O)C(CN[Cu])CNC(=O)[Au],1.3412,418.67,26.0,1.4181,5.966e-05,1.6543e-08,1.4535e-08,9.7487e-09,0.31837,COC(=O)C(CN)CNC(=O),True,<rdkit.Chem.rdchem.Mol object at 0x1abaec9e0>,7.0,3,6,2,1,1,1,0,0,0,0,6,5,2,4,34.0,10.790740740740741,-0.43962962962963004,3.848053366886477,3.090909090909091,0.3112436258505644,-0.46870737315454625,-0.08753353856039854,0.24639135568319154,81.92411980875652,-1.5196999999999992,81.41999999999999,5,0.6666666666666666,7.480959107571742e-10,3.4562057165136724e-10,103.15100000000001,154.49475786320522
