Trajectory ID,Mol smiles,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
9450,CCCCCC(=O)NC(CO[Cu])COC(=O)[Au],1.4811e+0,4.7576e+2,2.6000e+1,1.3019e+0,4.3389e-5,2.1866e-8,1.8201e-8,1.2731e-8,3.0221e-1
9451,CC(C)C(O[Cu])C(=O)N(C)CCOC(=O)[Au],1.4418e+0,4.6174e+2,1.9000e+1,1.3087e+0,5.7309e-5,2.1818e-8,1.1276e-8,1.2052e-8,-1.7911e-1
9452,CN(CCO[Cu])C(=O)CCOC(=O)[Au],1.4011e+0,4.3368e+2,1.7000e+1,1.3887e+0,1.2923e-4,4.3219e-8,2.6190e-8,1.7014e-8,7.3729e-2
9453,COC(=O)C(C)N(C)CC(CO[Cu])OC(=O)[Au],1.4784e+0,4.7773e+2,3.1000e+1,1.3332e+0,6.2121e-5,3.1125e-8,1.7674e-8,2.5180e-8,-9.1720e-2
9454,CNC(=S)NC(COC(=O)[Au])C(C)O[Cu],1.3375e+0,4.6476e+2,2.6000e+1,1.3915e+0,2.2310e-5,1.6161e-8,1.9375e-8,1.2639e-8,3.1894e-1
9455,CC(CNC(=O)CCCCCN[Cu])NC(=O)[Au],1.4866e+0,4.7379e+2,1.3000e+1,1.2938e+0,6.5446e-5,2.1344e-8,1.4806e-8,1.0233e-8,1.1996e-1
9456,CC(CN[Cu])C(=O)NC(C)(C)COC(=O)[Au],1.4560e+0,4.6075e+2,1.7000e+1,1.2963e+0,6.6424e-5,1.9703e-8,1.6239e-8,9.8732e-9,3.4584e-1
9457,CC(COC(=O)[Au])CS(=O)(=O)CCCO[Cu],1.3943e+0,4.8277e+2,1.6000e+1,1.4282e+0,6.9272e-5,2.4651e-8,1.5362e-8,2.0050e-8,2.3875e-1
9458,COCC(NC(=O)[Au])C(=O)NCCC(C)N[Cu],1.3552e+0,4.7577e+2,1.7000e+1,1.3452e+0,3.9819e-5,1.3147e-8,7.4004e-9,6.5768e-9,8.0313e-2
9459,CCCCC(NC(=O)[Au])C(=O)NCCCO[Cu],1.3614e+0,4.7478e+2,1.7000e+1,1.2690e+0,4.2767e-5,1.7047e-8,7.0139e-9,9.2957e-9,1.4110e-1
9460,CC(C)C(O[Cu])C(=O)NC(C#N)COC(=O)[Au],1.3677e+0,4.7272e+2,1.9000e+1,1.3740e+0,2.7004e-5,1.1924e-8,8.3954e-9,6.1187e-9,1.6792e-1
9461,CC(CNC(=O)[Au])N(C)C(=O)COCCN[Cu],1.4934e+0,4.7577e+2,1.4000e+1,1.3377e+0,1.1576e-4,2.7483e-8,3.0876e-8,1.8072e-8,3.7709e-1
9462,CNC(=O)C(CNCC(C)OC(=O)[Au])O[Cu],1.4348e+0,4.6272e+2,1.9000e+1,1.3581e+0,4.8868e-5,1.2943e-8,8.1319e-9,7.9376e-9,1.8184e-1
9463,CC(CCOC(=O)[Au])S(=O)(=O)CCO[Cu],1.4006e+0,4.6875e+2,1.7000e+1,1.4743e+0,9.7308e-5,3.4748e-8,2.0319e-8,2.2331e-8,1.4250e-1
9464,C=C(Cl)CN(C)CC(CNC(=O)[Au])O[Cu],1.3073e+0,4.6517e+2,3.1000e+1,1.3631e+0,6.1469e-5,3.0622e-8,1.8947e-8,1.6644e-8,1.2536e-1
9465,CCC(C)(CO[Cu])NC(=O)COC(=O)[Au],1.3940e+0,4.4771e+2,1.9000e+1,1.3534e+0,4.1856e-5,1.9207e-8,8.7835e-9,1.1305e-8,-7.3449e-3
9466,CC(C#N)C(=O)N(C)CC(COC(=O)[Au])O[Cu],1.2610e+0,4.7272e+2,3.1000e+1,1.3717e+0,5.2480e-5,2.3469e-8,1.3189e-8,1.0615e-8,6.1362e-3
9467,CCC(CNC(=O)COCCN[Cu])NC(=O)[Au],1.4934e+0,4.7577e+2,1.4000e+1,1.3478e+0,7.6233e-5,1.8684e-8,1.5954e-8,1.5739e-8,2.8407e-1
9468,C=CC(CCNC(=O)[Au])O[Cu],1.4989e+0,3.8766e+2,2.6000e+1,1.3005e+0,4.1431e-5,1.9538e-8,1.0236e-8,1.2577e-8,-2.4278e-1
9469,CC(CC(=O)NCCCO[Cu])NC(=O)[Au],1.3845e+0,4.4672e+2,1.6000e+1,1.3348e+0,4.8154e-5,1.5973e-8,7.1584e-9,8.9432e-9,7.8645e-2
9470,CC#CC(=O)NCC(COC(=O)[Au])O[Cu],1.4599e+0,4.4368e+2,3.1000e+1,1.4232e+0,4.9037e-5,2.0039e-8,1.3254e-8,8.0362e-9,4.0672e-1
9471,CC(CO[Cu])(COC(=O)[Au])C(=O)OCC(F)F,1.4225e+0,4.8467e+2,2.6000e+1,1.4909e+0,3.6670e-5,3.1990e-8,2.4492e-8,1.8649e-8,-3.8326e-1
9472,CCCC(CC)NCC(CN[Cu])OC(=O)[Au],1.3357e+0,4.6080e+2,3.1000e+1,1.1596e+0,3.6979e-5,2.7977e-8,1.4036e-8,1.3567e-8,-1.2191e-1
9473,CC(N[Cu])C(=O)N(C)CCCNC(=O)[Au],1.4299e+0,4.4574e+2,1.7000e+1,1.3324e+0,3.5098e-5,1.1350e-8,9.4836e-9,8.4363e-9,1.3522e-1
9474,CC(C)(CO[Cu])NC(=O)COC(=O)[Au],1.3690e+0,4.3368e+2,1.9000e+1,1.3878e+0,6.6599e-5,1.8392e-8,1.1358e-8,1.1490e-8,3.5866e-1
9475,CC(CCCNC(=O)C(C)OC(=O)[Au])O[Cu],1.3988e+0,4.6174e+2,1.6000e+1,1.3108e+0,5.2487e-5,1.5481e-8,8.7952e-9,1.4424e-8,-3.0745e-2
9476,CC(COC(=O)CCCC(C)OC(=O)[Au])O[Cu],1.4867e+0,4.7675e+2,1.4000e+1,1.2898e+0,3.5116e-5,3.0332e-8,1.7841e-8,3.7967e-8,-5.6918e-2
9477,CCCCC(CN[Cu])NC(=O)CNC(=O)[Au],1.4559e+0,4.5977e+2,1.9000e+1,1.2979e+0,4.5114e-5,1.3917e-8,8.1471e-9,7.0479e-9,1.6841e-1
9478,CCC(C)C(=O)N(C)CC(COC(=O)[Au])O[Cu],1.4919e+0,4.7576e+2,3.1000e+1,1.2904e+0,4.1784e-5,2.9463e-8,1.5963e-8,1.6740e-8,-1.8207e-1
9479,CC#CCOC(=O)C(C)(CO[Cu])COC(=O)[Au],1.2876e+0,4.7271e+2,2.6000e+1,1.3237e+0,1.6610e-5,1.8728e-8,1.7008e-8,1.1313e-8,-2.3671e-2
9480,CSCCN(C)CC(CO[Cu])OC(=O)[Au],1.3034e+0,4.6579e+2,3.1000e+1,1.3125e+0,1.2730e-4,6.1621e-8,3.8044e-8,4.0762e-8,-3.3208e-1
9481,CCC(NC(=O)C(C)(C)OC(=O)[Au])C(C)O[Cu],1.3485e+0,4.7576e+2,1.9000e+1,1.2666e+0,7.2003e-5,1.9852e-8,1.5735e-8,1.2932e-8,1.3890e-1
9482,CCCCCNC(CO[Cu])COC(=O)[Au],1.4582e+0,4.4775e+2,2.6000e+1,1.2151e+0,3.1265e-5,3.2287e-8,2.0152e-8,2.3349e-8,1.5614e-1
9483,CCNC(C)C(=O)NCC(CN[Cu])OC(=O)[Au],1.4919e+0,4.7577e+2,3.1000e+1,1.3277e+0,4.9566e-5,1.9221e-8,1.1124e-8,8.3748e-9,1.7340e-1
9484,CC(CCOC(=O)[Au])NC(=O)CCN[Cu],1.3845e+0,4.4672e+2,1.6000e+1,1.3315e+0,6.3952e-5,1.6957e-8,1.2154e-8,9.7073e-9,3.3923e-1
9486,CCNC(C)CNC(=O)C(CO[Cu])NC(=O)[Au],1.4919e+0,4.7577e+2,3.1000e+1,1.3282e+0,4.5459e-5,1.5699e-8,1.0535e-8,6.6682e-9,2.0092e-1
9487,CC(COC(=O)C(C)(C)OC(=O)[Au])O[Cu],1.3868e+0,4.4869e+2,1.9000e+1,1.3181e+0,6.3413e-5,3.1056e-8,2.1875e-8,1.8029e-8,1.6541e-1
9488,CC(CCNC(=O)C(OC(=O)[Au])C(C)C)O[Cu],1.3553e+0,4.7576e+2,1.7000e+1,1.2687e+0,4.6862e-5,1.7623e-8,8.7526e-9,1.1977e-8,1.6728e-2
9489,COCC(C)(CO[Cu])NCCC(C)OC(=O)[Au],1.4920e+0,4.7778e+2,1.7000e+1,1.2334e+0,5.9261e-5,3.8230e-8,2.0163e-8,2.6008e-8,-2.6620e-1
9490,COCC(CNC(C)C(C)OC(=O)[Au])O[Cu],1.4276e+0,4.6375e+2,1.9000e+1,1.2413e+0,9.2019e-5,5.7366e-8,3.2615e-8,3.4987e-8,-1.0033e-1
9491,O=C(O)CCCN(CCNC(=O)[Au])CCO[Cu],1.3424e+0,4.7675e+2,1.9000e+1,1.3570e+0,6.0266e-5,2.4039e-8,1.0652e-8,1.8529e-8,-1.5836e-1
