Molality,Monomer Molecular Weight,Degree of Polymerization,CONDUCTIVITY,Mol_smiles_clean,is_valid,Topological_diameter_bonds,BRICS_unique_frag_count,BRICS_largest_frag_heavy_atoms,Fgroup_carbonyl,Fgroup_ester,Fgroup_amide,Fgroup_ether,Fgroup_alcohol,RingCount,AromaticAtomCount,Hybrid_SP,Hybrid_SP2,Hybrid_SP3,NumHDonors,NumHAcceptors,EState_sum,EState_max,EState_min,EState_std,EState_mean,Gasteiger_max,Gasteiger_min,Gasteiger_mean,Gasteiger_std,SASA_sum,MolLogP,TPSA,NumRotatableBonds,FractionCSP3,R_eff,D,Tg,eta
1.3609,473.79,19.0,3.82e-05,CCC(NC(=O))C(=O)NCC(N)C(C)C,True,9.0,4,6,2,0,2,0,0,0,0,0,6,9,3,3,39.666666666666664,11.503202003023432,-0.4566090325018901,3.567452460700228,2.6444444444444444,0.2421118343382512,-0.35275046521403275,-0.08040557803406125,0.18867390849523583,120.52299635419271,-0.3894999999999986,84.22,7,0.8,7.795822878488008e-10,3.31661378607529e-10,107.22300000000001,133.8614232209738
1.4632,483.74,19.0,6.3013e-05,C#CCCC(CNC(=O)C(C=C)OC(=O))O,True,11.0,4,7,2,1,1,1,1,0,0,2,8,6,2,4,48.33333333333334,11.324779620181406,-1.0302467823549175,3.8889830884686236,3.020833333333334,0.29369083078528746,-0.4501590425219581,-0.07604642888728544,0.2185890949681891,115.69826428975183,-0.39550000000000035,75.63,8,0.45454545454545453,7.850018256276257e-10,3.2937163696303847e-10,105.5,231.59050089802435
1.2794,469.66,31.0,9.6678e-05,CC(F)(F)C(=O)NCC(CO)OC(=O),True,8.0,4,6,2,1,1,1,1,0,0,0,6,8,2,4,53.24999999999999,12.27114103048627,-3.484935870181406,5.464696659265697,3.803571428571428,0.32139303157923793,-0.4602445290887979,-0.06588737170925393,0.25955144552070836,94.64006227767162,-0.7082999999999999,75.63,6,0.7142857142857143,7.77310482718125e-10,3.326307081590009e-10,106.09200000000001,148.32115038945477
1.4714,478.79,31.0,5.3516e-05,CSCCNC(=O)CC(CNC(=O))O,True,11.0,5,6,2,0,2,0,1,0,0,0,6,8,3,4,39.833333333333336,11.094961262282691,-0.8106670445956163,3.9034359481540855,2.8452380952380953,0.2222001879353462,-0.3907547722366728,-0.08529235296295666,0.20502500351741998,110.31626969875956,-1.0373999999999992,78.43,8,0.75,7.823150593703164e-10,3.305028239313928e-10,105.56500000000001,140.5659121171771
1.426,477.78,16.0,6.3596e-05,COCC(C)(COC(=O))NCCCCO,True,10.0,5,5,1,1,0,2,1,0,0,0,3,12,2,5,38.75,10.108207222321129,-0.3560359977324261,3.095695928125645,2.5833333333333335,0.2926452898936405,-0.4658492744789705,-0.08644609189371143,0.21340217398778852,120.4055459461502,-0.07340000000000008,67.79,10,0.9,7.817645783266261e-10,3.3073554813571757e-10,101.336,112.47058823529412
1.3563,457.75,31.0,3.8251e-05,C#CCCCCNCC(CO)OC(=O),True,11.0,4,6,1,1,0,1,1,0,0,2,3,9,2,4,37.833333333333336,9.96494038183838,-0.4443208564289918,3.1664705315022985,2.7023809523809526,0.2929850310807079,-0.4607721754482007,-0.08429201210057938,0.20213296186326474,108.67134410783135,-0.08660000000000018,58.559999999999995,9,0.7,7.706836004920982e-10,3.354909020522174e-10,98.48700000000001,140.49500713266764
1.3553,475.76,17.0,3.9827e-05,CC(C)(CNC(=O)C(C)(C)COC(=O))O,True,9.0,4,6,2,1,1,1,1,0,0,0,6,9,2,4,43.16666666666667,11.599166666666667,-0.9471664383345928,3.9871635636892746,2.877777777777778,0.2926100959324837,-0.46677745295575085,-0.07182022961229308,0.22009314392623866,116.64358181635144,0.07270000000000004,75.63,6,0.8,7.806612844814021e-10,3.3120297043769233e-10,106.702,133.21098626716602
1.3988,461.74,16.0,9.1854e-05,CC(C)(CCNC(=O)COC(=O))CO,True,10.0,4,7,2,1,1,1,1,0,0,0,6,8,2,4,40.916666666666664,10.918618197278912,-0.32792611489040024,3.8476231307449247,2.9226190476190474,0.2930886405007538,-0.4577953275489676,-0.07870993162402924,0.22903921601029364,107.46869870161923,-0.3158,75.63,7,0.7777777777777778,7.72916359304962e-10,3.3452175415002225e-10,104.30000000000001,133.92780710515052
1.4895,479.77,19.0,4.8018e-05,CSCC(C)(CNC(=O)CO)OC(=O),True,8.0,5,4,2,1,1,1,1,0,0,0,6,8,2,5,41.25,10.755191326530612,-0.7162731481481479,3.87455149161741,2.9464285714285716,0.2932158368480361,-0.4588122714714258,-0.07410118531937503,0.23238880984818366,108.41692561225223,-0.6104000000000007,75.63,7,0.75,7.828484499819979e-10,3.3027763717471804e-10,106.10300000000001,141.28229027962718
1.4987,474.78,31.0,3.5203e-05,CCN(C(=O)CC(CNC(=O))O)C(C)C,True,9.0,5,6,2,0,2,0,1,0,0,0,6,9,2,3,41.33333333333333,11.639124149659864,-0.8097222222222225,3.918238024743583,2.755555555555555,0.2249628005046588,-0.39075463283864637,-0.0749521512048134,0.19601224404849096,118.69484075721573,-0.2596999999999998,69.64,7,0.8,7.801248978168442e-10,3.3143069404592725e-10,104.406,130.34456928838952
1.4777,459.77,14.0,7.4789e-05,CC(CN)CNC(=O)CCCNC(=O),True,11.0,4,5,2,0,2,0,0,0,0,0,6,8,3,3,37.5,11.158543083900227,0.012036092214664063,3.4928559631107925,2.6785714285714284,0.21957253393264675,-0.3586647604675376,-0.08643303219769205,0.19087705201338656,111.3481132394605,-0.7763999999999995,84.22,8,0.7777777777777778,7.718155841101534e-10,3.349988541939618e-10,104.821,134.5968041090027
1.4489,461.74,17.0,5.6318e-05,CC(C)C(O)C(=O)NCCCOC(=O),True,10.0,4,7,2,1,1,1,1,0,0,0,6,8,2,4,40.833333333333336,11.145710978835979,-0.9703802385151599,3.970377322735396,2.916666666666667,0.2925766327329406,-0.4678293508563296,-0.07686823073903626,0.22825654484188138,107.4686987016192,-0.3173999999999999,75.63,7,0.7777777777777778,7.72916359304962e-10,3.3452175415002225e-10,104.30000000000001,133.92780710515052
1.394,447.71,19.0,7.0063e-05,CCCC(CNC(=O)COC(=O))O,True,10.0,4,6,2,1,1,1,1,0,0,0,6,7,2,4,39.0,10.80453656462585,-0.5229804421768711,3.9962447651377158,3.0,0.2930886405525707,-0.4577953125030045,-0.07972893238772617,0.238223224293217,98.29381558688699,-0.5634000000000003,75.63,7,0.75,7.650073332915152e-10,3.3798020629877855e-10,102.897,137.0133155792277
